,DateTime,Filter#1_CTRL_FRC,Filter#1_CTRL_PRC,Filter#1_Inlet_Flow,Filter#1_Inlet_Pressure,Filter#1_Turbidity,Filter#2_CTRL_FRC,Filter#2_CTRL_PRC,Filter#2 _Inlet_Flow,Filter#2_Wash_Spray_Flow,Filter#2 _Inlet_Pressure,Filter#2_Outlet_Pressure,Filter#2_Turbidity,FILTER#3_CTRL_FRC,FILTER#3_CTRL_PRC,Filter#3_Inlet Flow,Filter#3_Inlet_Pressure,Filter#3_Turbidity,FILTER#4_CTRL_FRC,Second_Filters_Supply_Tank_Temperature,Filter#4 _Inlet_Flow,Filter#4_Inlet_Pressure,Filter#4 _Turbidity,FILTER#5_CTRL_FRC,FILTER#5_CTRL_PRC,Filter#5_Inlet_Flow,Filter#5_Inlet_Pressure,Filter#5 _Turbidity,FILTER#6_CTRL_FRC,Filter#6_Inlet_Flow,Filter#6 _Inlet_Pressure,Filter#6_Turbidity,Filter#1_Flow_Control_Valve,Filter#2_Flow_Control_Valve,Filter#3_Flow_Control_Valve,Filter#4 _Flow_Control_Valve,Filter#5_Flow_Control_Valve,Filter#6_Flow_Control_Valve
66506,2/8/23 0:34,762.9139,22.95002,963.9575,22.95002,90.48337,285.7881,11.8655,356.0582,0.09038719,11.8655,12.07516,25.03505,203.0118,10.54415,206.3611,10.54415,97.06049,305.4846,86.91988,685.7282,11.58787,37.29033,202.2439,0.0,188.7353,0.7472033,119.7105,0.0,0.424846,-0.8921491,97.6657,41.86589,14.07505,13.01239,27.01468,7.843532,0.0
66507,2/8/23 0:35,800.0,23.89684,1004.953,23.89684,68.60275,282.8662,12.00686,356.5411,0.08981904,12.00686,12.2625,25.88791,195.9563,10.67771,200.7322,10.67771,100.1748,303.5798,86.90407,681.4555,11.67145,37.44243,212.0356,0.1804798,197.858,0.7118294,118.4227,0.0,0.4053245,-0.8923702,97.56305,44.0234,14.14841,12.56016,26.84623,8.223276,0.0
66508,2/8/23 0:39,793.9715,25.99335,995.9444,25.99335,20.1528,276.3963,12.31986,357.6104,0.08856098,12.31986,12.67732,27.77637,180.3336,10.97345,188.2684,10.97345,107.0707,299.3618,86.86907,671.9946,11.85651,37.77922,233.717,0.5801138,218.0581,0.6335014,115.571,0.0,0.3620982,-0.8928598,97.33575,48.80074,14.31085,11.55879,26.47322,9.064139,0.0
66509,2/8/23 0:59,754.6888,39.65449,937.2426,39.65449,91.1097,234.2377,14.3594,364.5778,0.08036336,14.3594,15.38035,40.08186,78.53371,12.90057,107.0527,12.90057,152.0054,271.877,86.64104,610.3458,13.06242,39.97377,374.9964,3.18418,349.685,0.1231061,96.98937,0.0,0.3667863,-0.8960501,95.85469,79.93047,15.36932,5.033755,24.04268,14.54331,0.0
66510,2/8/23 1:07,739.5851,44.90704,914.6724,44.90704,118.3918,218.0282,15.14358,367.2567,0.07721148,15.14358,16.41963,44.81318,39.39285,13.64152,75.8262,13.64152,169.2822,261.3094,86.55335,586.6425,13.52607,40.81755,429.3166,4.185413,400.294,-0.07313494,89.84494,0.0,0.3685888,-0.8972768,95.28524,91.8995,15.77629,2.524953,23.10817,16.64999,0.0
66511,2/8/23 1:10,733.5242,44.2966,905.6153,44.2966,129.3398,211.5236,15.45826,368.3317,0.07594666,15.45826,16.83669,46.7118,23.68611,13.93886,63.29539,13.93886,176.2152,257.0688,86.51817,577.1307,13.71213,41.15615,451.1147,4.587196,420.6028,-0.151884,86.97797,0.0,0.3693122,-0.897769,95.05672,96.70251,15.93961,1.518202,22.73316,17.49537,0.0
66512,2/8/23 1:10,732.1305,44.15624,903.5327,44.15624,131.8572,210.0278,15.53062,368.5789,0.07565582,15.53062,16.93258,47.14838,20.07439,14.00723,60.41398,14.00723,177.8094,256.0937,86.51008,574.9435,13.75492,41.23401,456.127,4.679585,425.2727,-0.1699921,86.31872,0.0,0.3694785,-0.8978822,95.00418,96.43179,15.82689,1.286703,22.64693,17.68976,0.0
66513,2/8/23 1:11,730.4775,43.98975,901.0626,43.98975,134.843,208.2538,15.61645,368.872,0.07531087,15.61645,16.87732,47.66619,15.79074,14.08832,56.99648,14.08832,179.7002,254.9371,86.50049,572.3494,13.80566,41.32636,462.072,4.789162,430.8115,-0.1914691,85.53681,0.0,0.3696758,-0.8980164,94.94186,96.11071,15.69321,1.012135,22.54465,17.92032,0.0
66514,2/8/23 1:14,724.3842,43.37605,891.957,43.37605,145.8495,201.7144,15.13357,369.9528,0.0740393,15.28813,16.6736,49.57496,0.0,7.025376,44.39867,13.31582,186.6703,250.6738,86.46511,562.7867,13.57291,41.66677,483.9866,5.193093,451.2289,-0.2706394,82.65451,0.0,0.370403,-0.8985113,94.71212,94.92709,15.20042,0.0,22.16764,18.77023,0.0
66515,2/8/23 1:17,718.3232,42.76561,882.8998,42.76561,156.7975,195.2097,14.65326,359.8454,0.07277448,14.96155,16.47096,51.47358,16.81844,0.0,31.86786,12.54743,193.6033,246.4332,86.42993,553.2748,13.34141,42.00537,505.7846,5.594875,471.5376,-0.3493885,79.78754,0.0,0.3711263,-0.8990035,94.4836,93.74978,14.71026,0.805488,21.79263,19.61561,0.0
66516,2/8/23 1:25,703.1871,41.24115,860.2813,41.24115,184.1382,178.9654,13.45377,334.6038,0.06961583,14.14598,15.96491,56.21505,58.81956,0.2587285,0.5743395,10.62851,210.9172,235.8429,86.34206,529.5208,12.76325,42.85096,560.2215,6.598257,522.2552,-0.5460507,72.62778,0.0,0.3729327,-0.9002328,93.91293,90.80963,13.48615,2.817054,20.85611,21.72681,0.0
